"inventory_row_number","finding_identity_digest","path","symbol","method","operation","table","writer_kind","dynamic_sql","live_source_sha256","source_span_start","source_span_end","schema_version","blocker_count","blockers"
"351","56b14f23ad304c0686d10f554f26729a2b47b8ce1dc7d6c78d05d9125e872172","services/caregiver_availability_lock_service.py","_occupancy_conflicts","execute","DYNAMIC","unknown","dynamic_sql_unresolved",,"810098a17da6efa694d6f18872f18476ad46e03290990399f451261b310f74a8",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"352","f6c5cc4b3781132594cdc61dc31e73c4841c4f87844d2b201b3fd03f86c67fd7","services/caregiver_availability_lock_service.py","_occupancy_conflicts","execute","DYNAMIC","unknown","dynamic_sql_unresolved",,"810098a17da6efa694d6f18872f18476ad46e03290990399f451261b310f74a8",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"353","b7be3e2c74ea45e01151a7ca1006e35229128de23b4e77261f5653314b0b1e67","services/caregiver_availability_lock_service.py","_occupancy_conflicts","execute","DYNAMIC","unknown","dynamic_sql_unresolved",,"810098a17da6efa694d6f18872f18476ad46e03290990399f451261b310f74a8",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"354","5d9a34814501b34f89d4f9e711ac21f101a70baccc0798d0ff12863a2c6c8611","services/caregiver_availability_lock_service.py","acquire_caregiver_availability_lock","commit","COMMIT","-","transaction_boundary",,"810098a17da6efa694d6f18872f18476ad46e03290990399f451261b310f74a8",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"355","cd6021b3b4e902f4e3e6f666d318696215fe773fb6aa4648ff383f445ea65fd0","services/caregiver_availability_lock_service.py","acquire_caregiver_availability_lock","execute","INSERT","caregiver_availability_lock_days","static_sql_mutation",,"810098a17da6efa694d6f18872f18476ad46e03290990399f451261b310f74a8",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"356","7a02371bd68cd24360eb0fb57e5c5a2458f9af9037cf22a8ddaaa08df3813cd6","services/caregiver_availability_lock_service.py","acquire_caregiver_availability_lock","execute","INSERT","caregiver_availability_lock_events","static_sql_mutation",,"810098a17da6efa694d6f18872f18476ad46e03290990399f451261b310f74a8",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"357","ec0bc394593ba9d72c5bd36e0c107f6ef330d968142e0c93efddd97e0a4732b0","services/caregiver_availability_lock_service.py","acquire_caregiver_availability_lock","execute","INSERT","caregiver_availability_locks","static_sql_mutation",,"810098a17da6efa694d6f18872f18476ad46e03290990399f451261b310f74a8",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"358","f400497ae38b04213f2ca0871175ebcae794aa8d748f1d883f1543a838102d03","services/caregiver_availability_lock_service.py","acquire_caregiver_availability_lock","execute","UPDATE","caregiver_matching_plans","static_sql_mutation",,"810098a17da6efa694d6f18872f18476ad46e03290990399f451261b310f74a8",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"359","35a65776098a67643f9ac5065ea6e1248f1e197230229a54c577b43b9df3b9cb","services/caregiver_matching_communication_service.py","cancel_matching_plan","commit","COMMIT","-","transaction_boundary",,"350fccead48655775c237a6e639bb37400843acd5424227a35ed2de3142b1540",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"360","4a3bd54db29036ce4e639f639d743f9b762dcaadbd6c667300c760a71f599c2f","services/caregiver_matching_communication_service.py","cancel_matching_plan","execute","INSERT","caregiver_matching_plan_events","static_sql_mutation",,"350fccead48655775c237a6e639bb37400843acd5424227a35ed2de3142b1540",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"361","2089719f6cbf58c5150a8199a557f3453e19e0ac3bd4ef98b3894f637647fe91","services/caregiver_matching_communication_service.py","cancel_matching_plan","execute","UPDATE","caregiver_matching_plans","static_sql_mutation",,"350fccead48655775c237a6e639bb37400843acd5424227a35ed2de3142b1540",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"362","f217aace91da868522529738c820cdaa7770d0e8f5e73c67f59175506b67b864","services/caregiver_matching_communication_service.py","record_matching_plan_willingness","commit","COMMIT","-","transaction_boundary",,"350fccead48655775c237a6e639bb37400843acd5424227a35ed2de3142b1540",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"363","7e48d9a1ecda1ca3e05ac956897c2c57d3d110e1b99e77418ea481ae3420745c","services/caregiver_matching_communication_service.py","record_matching_plan_willingness","execute","INSERT","caregiver_matching_plan_events","static_sql_mutation",,"350fccead48655775c237a6e639bb37400843acd5424227a35ed2de3142b1540",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"364","8a7f0be9c74e243ce46470649a831f59f34050c7ffffe888a867802b9cdc338f","services/caregiver_matching_communication_service.py","send_matching_plan_information","commit","COMMIT","-","transaction_boundary",,"350fccead48655775c237a6e639bb37400843acd5424227a35ed2de3142b1540",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"365","25f6c8a83a5f662f4f91695fb2ec0aaa44074591e787d7f559588dae2b20960e","services/caregiver_matching_communication_service.py","send_matching_plan_information","execute","INSERT","caregiver_matching_plan_events","static_sql_mutation",,"350fccead48655775c237a6e639bb37400843acd5424227a35ed2de3142b1540",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"366","9632517e42f8ddc9509252d71eaa491fe23c822c361de613a2b40f012daa49e3","services/caregiver_matching_communication_service.py","send_matching_plan_resumes","commit","COMMIT","-","transaction_boundary",,"350fccead48655775c237a6e639bb37400843acd5424227a35ed2de3142b1540",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"367","43a98d24f9ff4aabef646ac6442110c0c11179624840730012d078a80193fd79","services/caregiver_matching_communication_service.py","send_matching_plan_resumes","execute","INSERT","caregiver_matching_plan_events","static_sql_mutation",,"350fccead48655775c237a6e639bb37400843acd5424227a35ed2de3142b1540",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"368","94a6f32ef5c1b719179043f8cd6d70cbee2521505949b183c834ecad37bc7c6d","services/caregiver_matching_plan_service.py","create_matching_plan_version","commit","COMMIT","-","transaction_boundary",,"1b8220d9cd77ec6d455ef8e097b2ee0e93e612cf8b2ee24d6b804ebdd6c351ce",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"369","5cc79098cdb0477ece23b236cdfe9c91cc0f2dd22ae804aad1fe21ddc1ad7554","services/caregiver_matching_plan_service.py","create_matching_plan_version","execute","INSERT","caregiver_matching_plan_segments","static_sql_mutation",,"1b8220d9cd77ec6d455ef8e097b2ee0e93e612cf8b2ee24d6b804ebdd6c351ce",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"370","ae406b14a7c1dd3e3e94b1659868aa6f868ca5aa5a382f48489f82c9dfe8d137","services/caregiver_matching_plan_service.py","create_matching_plan_version","execute","INSERT","caregiver_matching_plans","static_sql_mutation",,"1b8220d9cd77ec6d455ef8e097b2ee0e93e612cf8b2ee24d6b804ebdd6c351ce",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"371","4392dc2dac7dc7abf229dc97d0e425e957e86d3d89fa23e3ed1d83348f7657e2","services/caregiver_matching_plan_service.py","create_matching_plan_version","execute","UPDATE","caregiver_matching_plans","static_sql_mutation",,"1b8220d9cd77ec6d455ef8e097b2ee0e93e612cf8b2ee24d6b804ebdd6c351ce",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"372","4c834749dd47a8c4704767a73f78b947125343420a14b93f109af5b4a65ea1f5","services/client_payment_snapshots.py","create_client_payment_snapshot","execute","INSERT","client_payments","static_sql_mutation",,"2e91197effa0db5ca5a829bfc59fd134d2d9c83298bafc482103aeb02cafb455",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"373","8f22fb284da27cf39eed7324ad30a7c15fda4201bf7af69466f77df3f1369bb3","services/client_payment_writer.py","_clear_subsidy_return_review","execute","UPDATE","client_payments","static_sql_mutation",,"032264f341958494e54c43bb7f8d9d1c2d6aa4fa369a2c216f78bea8a729f2ae",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"374","3bf0ffdc119d34779784c151c5970d9f473ea587bc8ab2074c44200a22d969e8","services/client_payment_writer.py","_persist_subsidy_return_review","execute","UPDATE","client_payments","static_sql_mutation",,"032264f341958494e54c43bb7f8d9d1c2d6aa4fa369a2c216f78bea8a729f2ae",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"375","7ec5bc7112a0b1b08d49625a93e9f142ffeb283e8feab969fc35bf19feba3680","services/client_payment_writer.py","record_client_payment_transaction_with_cursor","execute","INSERT","client_payment_transactions","static_sql_mutation",,"032264f341958494e54c43bb7f8d9d1c2d6aa4fa369a2c216f78bea8a729f2ae",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
